"Replication","Sample_Size","Parameter","Estimate","Posterior_SD","Lower_95","Upper_95","Rhat","Rhat_Upper","ESS"
36,500,"beta2_y",0.906297837919808,0.0561432112108514,0.795246744709417,1.01611192623749,1.00056216474865,1.00147479516087,1296.36156569267
36,500,"sd_b0",0.968633114421156,0.049503011515023,0.872832977115572,1.06732004638157,1.00173916160822,1.00632077020769,6474.03426282041
36,500,"sd_b1",0.629900442525035,0.0213881648963567,0.58920731862607,0.673780363572152,1.00009705801125,1.00048601217452,20428.372633246
36,500,"rho",0.213266859260977,0.060887127975193,0.0925758308707979,0.33115147152264,1.00037422503437,1.00147317407752,7720.49562356677
36,500,"sigma_y",0.986749135028117,0.0127207065790591,0.961997654593215,1.01198145626375,1.00001915437168,1.00017990671205,17103.5812931778
37,500,"beta0_y",1.9774908417029,0.0594421034165025,1.86222438058103,2.09783794694174,1.003019469663,1.01108509693033,1110.89678210866
37,500,"beta1_y",0.547828530996177,0.0261918080928111,0.498407525819058,0.599745610695929,1.0341703796347,1.11602030474689,274.840429341574
37,500,"beta2_y",0.995061275281943,0.0597899708661085,0.876499517316917,1.11245688311499,1.00398647735247,1.01435848758284,1089.07537542575
37,500,"sd_b0",1.08978047179022,0.0510276955286525,0.991585934092764,1.19179130950208,1.00005743154756,1.00009594529158,7186.79993191781
37,500,"sd_b1",0.563916323244408,0.0192936186327986,0.527812756826987,0.603057839598038,1.00003544171345,1.00019917069421,19446.0615244757
37,500,"rho",0.366369771905853,0.055024476724691,0.256118423421562,0.471938967117007,1.00016648804231,1.00021400253443,7352.34396484982
37,500,"sigma_y",1.01014265203988,0.0130054555531208,0.984984593291748,1.03601038207158,1.00000058069501,1.00008186991544,16936.0941217483
38,500,"beta0_y",2.02232095939723,0.0534062309945257,1.91700714200069,2.12449243419647,1.00432468394454,1.01590638611378,1349.18095277427
38,500,"beta1_y",0.536770895391528,0.0275045304175574,0.480739853032185,0.588534629677664,1.05391278814754,1.17428648261111,253.818533457076
38,500,"beta2_y",0.995969337791093,0.0539836859831748,0.889241488810058,1.10284683198082,1.00138206939864,1.00357510951456,1398.03989407889
38,500,"sd_b0",0.923042674886943,0.048659908128253,0.829034291305091,1.02018974970366,1.00120503819872,1.0045528402917,5622.48327267456
38,500,"sd_b1",0.591008320165417,0.0202912106170237,0.552897460329448,0.632322287789027,1.0001973488395,1.00073200794151,18486.0114307902
38,500,"rho",0.379414339404924,0.060479512937305,0.258141684692331,0.495156536099669,1.00141594028245,1.00530585624676,5563.18444326022
38,500,"sigma_y",1.00394343913187,0.0128519666495641,0.979218537652144,1.02933090655409,1.00027790109489,1.00101663748507,15493.9933978606
39,500,"beta0_y",2.0153617250762,0.0543829558960188,1.90796253942159,2.12064905960453,1.00655979558466,1.02378632190049,1372.01093727272
39,500,"beta1_y",0.475540154399043,0.0284831406703625,0.417356935846519,0.53207689666371,1.00226919391251,1.00260123162206,223.387244935354
39,500,"beta2_y",0.875297416446413,0.0541813614772841,0.768351072850398,0.981694814768224,1.00153435803868,1.00496168551318,1443.57545815605
39,500,"sd_b0",0.937270159780583,0.0502973088458734,0.840859366634988,1.03824083569476,1.00012287389801,1.00055034507648,5470.75996268224
39,500,"sd_b1",0.596101062939915,0.0205543815120653,0.557664514045789,0.637694006161611,1.00008624453669,1.00043910178443,18509.6516550259
39,500,"rho",0.318652858792304,0.0615297471959661,0.196312887159089,0.438469664290974,1.00002487110408,1.00010055560093,6484.69320705453
39,500,"sigma_y",1.01392488772005,0.0130049457039996,0.989037068659806,1.03983422984298,1.00048831952854,1.00177193483733,16303.2823217597
40,500,"beta0_y",2.04410710724645,0.0535913605794942,1.93940001763779,2.14864191926387,1.00787552545292,1.0281717154476,1350.05137273506
40,500,"beta1_y",0.531556186117442,0.0282045814102729,0.474853324739327,0.587839680750404,1.02383128173148,1.08206495109931,225.812886948815
40,500,"beta2_y",0.937946978622467,0.0537853261088161,0.83268335568459,1.04267242453664,1.00024014480323,1.00036768583441,1347.42721778249
40,500,"sd_b0",0.917505839027939,0.0484787733705632,0.824353580954063,1.0141102725965,1.00026685790798,1.00068498905854,5370.55636199603
40,500,"sd_b1",0.588074606579055,0.0202289361245079,0.549904557701561,0.629259928063135,1.00020111997493,1.00032610781474,18481.1485182469
40,500,"rho",0.386127110055768,0.0595064010286533,0.267116044849296,0.499212418488881,1.00080762046829,1.00229094705585,5732.01314891882
40,500,"sigma_y",1.00115652418018,0.0129756073639412,0.976343085311871,1.02704649160858,1.00007333829556,1.00035607927367,15308.4541732016
41,500,"beta0_y",1.91956192624234,0.0572707212200009,1.80788000666579,2.03431290772993,1.0017362737901,1.00557128277529,1213.31607169483
41,500,"beta1_y",0.460214052035245,0.0301069636919895,0.401263523579821,0.517605332793606,1.0122239397691,1.04130062122729,204.378247667943
41,500,"beta2_y",1.05218372053513,0.0584248420221522,0.940076275880698,1.16868161622297,1.0010755421807,1.00402431063024,1188.92590741394
41,500,"sd_b0",1.0307028311645,0.0504563224440639,0.935248397477055,1.13353759628042,1.00074411797493,1.00286112733209,7148.55702376091
41,500,"sd_b1",0.622376516244463,0.0212187760791378,0.582473990923678,0.665306055568068,1.00005345222086,1.00024836044218,19277.3271709227
41,500,"rho",0.293278239709291,0.0586136406577683,0.178178409783636,0.407188873435741,1.00028389420761,1.00103781860863,7755.2955513313
41,500,"sigma_y",1.01412200169357,0.0131470648686304,0.988974634193231,1.04042018867024,1.00004566588401,1.00027697388689,17562.814933865
42,500,"beta0_y",1.97517589118326,0.056159135058342,1.86551687242529,2.08696610063881,1.00176802675733,1.00620684102188,1204.45160283012
42,500,"beta1_y",0.518022157641476,0.0304714059017901,0.460441600503046,0.58102901416111,1.02053136128948,1.04184621934903,201.150662889562
42,500,"beta2_y",1.02914382567258,0.0520101001631266,0.928069293582531,1.13103750299688,1.00037278144402,1.00148330624158,1304.06820082494
42,500,"sd_b0",0.994786028259951,0.0499414370063311,0.899707667491623,1.09534701150071,1.00039871313438,1.00143714561573,6625.42216808154
42,500,"sd_b1",0.639223392441747,0.0217946806189221,0.598231152428353,0.6834988935035,1.00009084065286,1.00038710738729,20530.3474531904
42,500,"rho",0.283430311733303,0.0573751657519349,0.169733472364543,0.394806999715307,1.00002693035109,1.00004319995281,8460.85902531834
42,500,"sigma_y",0.998618291552844,0.0128540213597872,0.973783364940546,1.0240646375281,1.00007498878606,1.00029870350237,16570.9275691097
43,500,"beta0_y",1.97465358665566,0.0537942880012619,1.86911650131587,2.08076674313136,1.00163112542062,1.0048425081013,1410.30069975547
43,500,"beta1_y",0.535935959347574,0.0295695685996505,0.477942063299521,0.594147089078205,1.01043121078499,1.03209354627605,209.698981976696
43,500,"beta2_y",0.994696919364041,0.0527556532775742,0.892682139892833,1.0965530522545,1.00054138609743,1.00073584974197,1384.50810693796
43,500,"sd_b0",0.944587794269141,0.0487807169673549,0.851623476492596,1.04362737637961,1.00030981348804,1.00108636545877,5861.96960276884
43,500,"sd_b1",0.638011024549583,0.0215986506487554,0.597418728355437,0.682048825067882,1.00001541676401,1.00016755205325,19725.4020935268
43,500,"rho",0.360547427571554,0.0581277245209384,0.2441535509995,0.471909522538651,1.00021453210577,1.00071195767804,6807.89701830829
43,500,"sigma_y",1.01500403645696,0.0130510883618392,0.98986488954643,1.04077122984125,1.00000040967562,1.000090629352,17645.1441166757
44,500,"beta0_y",2.18653400448446,0.0547325994910172,2.07582046387926,2.29126535765666,1.00366826932624,1.01295117254143,1292.79463854269
44,500,"beta1_y",0.541202163260833,0.028030946836511,0.48786618019282,0.597288214089893,1.00914974512403,1.01943323784163,225.827066370916
44,500,"beta2_y",1.08209387506047,0.0565295067019709,0.972317574014382,1.19313163754096,1.00095595771468,1.00361307470845,1238.17126209745
44,500,"sd_b0",0.958781138693123,0.0500491759395237,0.863925665740412,1.0594146984303,1.00120847376717,1.00434833694176,6130.7907758449
44,500,"sd_b1",0.596309000046153,0.0203809868913856,0.558157833272992,0.637612238723033,1.00016592070194,1.00068903088512,18704.339256247
44,500,"rho",0.223492796098782,0.0602321158708137,0.105934021429429,0.339991520666296,1.00059504213519,1.00230846231935,8034.52504620511
44,500,"sigma_y",0.989247171503905,0.0127464765405141,0.9644794702521,1.01461561886981,1.00034535305665,1.00117776909635,17169.2383146595
45,500,"beta0_y",1.99283277217283,0.0590566739835216,1.87709185605471,2.11043642529139,1.00314047679943,1.01087803121737,1113.40656792674
45,500,"beta1_y",0.494077356604372,0.0296159389413359,0.438576843181176,0.553234286208427,1.01323460646691,1.0318005996207,206.182752239896
45,500,"beta2_y",0.862541462916562,0.055525998869658,0.75276154965872,0.975169242205594,1.00459625737777,1.01662680285461,1090.9272483566
45,500,"sd_b0",1.09982501313428,0.0502845695684383,1.00350631235434,1.20117250548572,1.00014629376215,1.00064197386626,8482.56983112352
45,500,"sd_b1",0.617608302784059,0.0209114441075537,0.577925398207049,0.660017313618769,1.00039305539858,1.00117102111657,19973.1886996315
45,500,"rho",0.233836793003821,0.0563558852088287,0.12301401722033,0.343609893251057,1.00013365282531,1.00043217005787,9246.01967849625
45,500,"sigma_y",0.993164672498803,0.012790503819479,0.968380718445534,1.01860575599405,1.00010048994006,1.00044889044787,17944.2759802853
46,500,"beta0_y",2.01210409419772,0.0572195295462934,1.90068692210213,2.12611772036182,1.00231321191941,1.00727039398687,1091.25988391383
46,500,"beta1_y",0.473648135165453,0.0267641883781471,0.422173138309829,0.527686390074036,1.01475302841318,1.03839804472253,240.787017137954
46,500,"beta2_y",1.01330818175522,0.0613408000154296,0.892425868885918,1.13132708234224,1.00150432141901,1.00438707936917,1107.35544224746
46,500,"sd_b0",1.04094114374697,0.0501396600939903,0.945066855205765,1.14174475628171,1.00067827959244,1.00215166189571,7362.34384259658
46,500,"sd_b1",0.586644525684627,0.0200859077875766,0.548941248248216,0.627983758817462,1.0000701115567,1.00037087652669,20628.3965452975
46,500,"rho",0.319566597490412,0.0552582450086172,0.20963246254408,0.42597538173649,1.00088648886643,1.00334307663572,8705.62664145674
46,500,"sigma_y",0.974093218562523,0.0125449128591736,0.949910096320895,0.999129167822252,1.0000552461646,1.00029282281093,17261.6893131328
47,500,"beta0_y",2.01821542858253,0.0594167112001789,1.90252374409835,2.13721425243315,1.00238391161144,1.00848424303545,1083.94591713784
47,500,"beta1_y",0.476266124624727,0.0277613723430724,0.42292548301571,0.530940690189165,1.03862837425827,1.13099161239976,230.774798618747
47,500,"beta2_y",1.03996856594164,0.0597799646870178,0.923286291129938,1.15738572880261,1.00244636162717,1.00867856834189,1122.8420396691
47,500,"sd_b0",1.06552550444157,0.0523395700751801,0.96589337395017,1.17069986527852,1.00003555896674,1.00004435647714,6737.85510035379
47,500,"sd_b1",0.596452874365161,0.0202644846049096,0.558560274087971,0.637669669866517,1.00012233772858,1.00058414301347,20170.9096811556
47,500,"rho",0.316659602656807,0.0571482552901833,0.204104670893814,0.427276510914785,1.0000769115756,1.00019316690623,7626.09035083032
47,500,"sigma_y",0.999835698208305,0.0128867946218645,0.974956862755161,1.02565612330884,1.00000089768597,1.00009249717024,16600.8856539109
48,500,"beta0_y",2.01746597409761,0.0527246876566342,1.91412937213347,2.11981153348555,1.00280866821948,1.01038877177284,1345.96429735661
48,500,"beta1_y",0.505550629077422,0.0303834247770292,0.444409118502619,0.564516964501066,1.0518100097565,1.16808428094982,208.580106665013
48,500,"beta2_y",1.04652570832508,0.0574793881125223,0.935064854121087,1.16029530876246,1.00073137175503,1.00166946721322,1344.54804872627
48,500,"sd_b0",0.917852039984369,0.0480396674365244,0.826523343995831,1.01440553624312,1.00084069960883,1.00273198405938,5525.33297667816
48,500,"sd_b1",0.626779987424328,0.0212011422905704,0.586941182528724,0.669763828187599,1.00024393962315,1.00098499119245,20116.7794976675
48,500,"rho",0.269264053068287,0.0598512532492837,0.150262105828887,0.384282968683962,1.00094651818566,1.00356271198027,7331.87756517595
48,500,"sigma_y",0.987413418223463,0.0125794666609165,0.963174986085893,1.01250464495453,1.00006990648741,1.00035819166732,17120.5122459639
49,500,"beta0_y",2.05060047464632,0.0577466347289841,1.93798576801193,2.16317473254907,1.00551507865465,1.01971516594313,1193.31171825493
49,500,"beta1_y",0.453233362551342,0.0257771622177747,0.400561334772953,0.503464516764928,1.00410055264613,1.00446627668149,268.384032999648
49,500,"beta2_y",1.07900650148025,0.0528900197165204,0.975052258896675,1.18361459260116,1.00308771455084,1.01131420576709,1265.65523312951
49,500,"sd_b0",1.03691319885912,0.0502736882235076,0.940628350523438,1.13705811143736,1.00020099643818,1.00068356613201,6900.66105348622
49,500,"sd_b1",0.552140472259731,0.0192111535949918,0.516007791926621,0.590977647583225,1.00018946676091,1.00077921806707,17546.919155556
49,500,"rho",0.270042461888901,0.0602707257789525,0.149279885877417,0.386630853677346,1.00030311009973,1.00117707241448,7471.4570487602
49,500,"sigma_y",1.00981343305439,0.0130126659017696,0.98512896471729,1.0358810864906,1.00008368775309,1.00017898096426,16780.685602974
50,500,"beta0_y",2.08237450111062,0.0580499256515218,1.96833302521942,2.19520352258923,1.00969057626487,1.03457200453776,1168.22382003195
50,500,"beta1_y",0.548550521755635,0.0286624422468603,0.492592524429376,0.604743586499015,1.01568074660463,1.05576418633794,224.790819610287
50,500,"beta2_y",1.03477034623776,0.0568071219801332,0.923709303583194,1.14755184851984,1.00090001518266,1.00281313546057,1187.89599754285
50,500,"sd_b0",1.03403696355012,0.0505018001395003,0.937357349806298,1.13522483438125,1.00006496296428,1.00021863457718,6153.30461102754
50,500,"sd_b1",0.590902515572147,0.0203052549770856,0.552947838076859,0.632483136958886,1.00023773831085,1.00064255943461,19094.3209091631
50,500,"rho",0.380946390115187,0.0562634587678534,0.267350487283929,0.488658152690489,1.00014932941758,1.00026788118984,6928.14131203727
50,500,"sigma_y",1.00446882320854,0.0130623991418851,0.97943071905915,1.03044226817024,1.00009826203423,1.00042577670886,15844.8388819851
