"Parameter","Estimate","Posterior_SD","Lower95","Upper95","Rhat","ESS","Replicate","N","N_long","N12","N13","N23","Max_Rhat","Min_ESS","Fit_Status"
"beta2_y",1.04932991751275,0.0686031450804489,0.915546046268953,1.18477269266456,1.00065027765788,1134.87031193336,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"sigma_b0",1.05703987673533,0.0681135391894633,0.927928293877476,1.1940028482087,1.00008919757912,2406.45086822569,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"sigma_b1",0.608856806377613,0.0264955662377092,0.559381112815664,0.663265723701641,1.00009395088589,4948.41581657846,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"rho",0.356924579571329,0.0723735299597944,0.210865315127142,0.495346681596062,1.00002188995415,2869.6192681816,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"sigma_y",1.00671818559261,0.0177937584591446,0.972647762582877,1.04234132838094,1.00000746017628,14182.752688242,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"lambda012",0.0795704812552748,0.00602125282929891,0.0682776564153928,0.0918868790557159,0.999992578310956,11790.858146572,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"lambda013",0.0422927992966416,0.0049072571664018,0.0331754939784535,0.0523901901951296,1.00006761919917,7710.87593189513,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"lambda023",0.102765626127975,0.0112561568366437,0.0816987079183614,0.125985824677458,1.00024865891009,10735.4204382875,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"gamma12",-0.598164946661516,0.0744812738074547,-0.744139523948371,-0.45272802231529,1.00015129352322,16296.3151715081,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"gamma13",0.69037582066144,0.108429386654064,0.480438694331904,0.90606481583245,1.00018796699896,9246.05162545296,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"gamma23",0.554313973495387,0.113472553942161,0.335993587979323,0.782140334409441,1.00019905975234,13460.8235968883,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"alpha0_12",0.398190504059222,0.100773137375783,0.205237130701123,0.600702634600229,1.00135352156765,6883.99108381184,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"alpha0_13",0.737456541133975,0.138325307290652,0.476170960901205,1.01916020539391,1.00071678041077,4229.49228208228,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"alpha0_23",0.572753727759631,0.174595822212952,0.24638166427472,0.931821191718996,1.00097564397107,3867.32023960379,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"alpha1_12",0.138813279210034,0.144837962295852,-0.148045958225478,0.417979612040545,1.00060051451258,10514.5629391889,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"alpha1_13",0.520062981640709,0.214537323772577,0.0900839638754156,0.93455373496702,1.00140912090293,3254.06086813682,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"alpha1_23",0.132001239871394,0.225212030138816,-0.325495950448456,0.55900686614622,1.00051073271931,5696.86598573992,7,500,2331,229,155,118,1.00824818327598,86.2023138804181,"success"
"beta0_y",1.97281683173813,0.0677092483114565,1.84097870723678,2.10526292048292,1.00042398050731,2113.28113547781,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"beta1_y",0.541852236188126,0.032667420366515,0.477148053922634,0.609812957310037,1.01974317596593,110.324638621081,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"beta2_y",0.976632002887025,0.0649576779276221,0.851669967153059,1.10651973677954,1.00075729082575,1180.08695397957,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
"sigma_b0",0.979105419668237,0.0629499172066572,0.856979438838309,1.10358534508252,1.00088529837518,2199.53470228637,8,500,2302,230,163,121,1.01974317596593,110.324638621081,"success"
