"N","replicate","parameter","estimate","posterior_sd","lower","median","upper","rhat","ess","censor_before_first","n12","n13","n23","converged"
500,75,"lambda012",0.0808585736575554,0.00656400947449771,0.0684556106198473,0.0806591854608545,0.0943372735856606,1.00050978796688,6014.70317925823,0.378,186,125,74,TRUE
500,75,"lambda013",0.0520590807518107,0.00541177055126,0.0421504960168925,0.0519145290205581,0.0629211970921516,1.00076255015053,5908.29356534055,0.378,186,125,74,TRUE
500,75,"lambda023",0.103591430885167,0.0121312776533056,0.0811986813318841,0.103013490498794,0.128483767427216,0.999993373045442,8277.81135797849,0.378,186,125,74,TRUE
500,75,"gamma12",-0.473968493388858,0.0824577343471305,-0.636811409087079,-0.473070461943209,-0.312471866638996,0.999944578336364,6085.65747767813,0.378,186,125,74,TRUE
500,75,"gamma13",0.813234663339609,0.0993599682310769,0.619909353261918,0.812680932309234,1.00781537689017,1.00080924551191,5435.01217777398,0.378,186,125,74,TRUE
500,75,"gamma23",0.472015279402679,0.131948813252701,0.217312650692145,0.470691854801475,0.731538501346561,1.00018957017726,8504.46861585629,0.378,186,125,74,TRUE
500,76,"lambda012",0.0749766768874158,0.00626229956562216,0.0630743476623874,0.0747951240233043,0.0876963124012935,1.00015889692421,5914.34590081707,0.376,178,134,62,TRUE
500,76,"lambda013",0.0522965484048705,0.00543252098476366,0.0421669483472279,0.0521204809524237,0.0634685356697727,1.00032695837364,4815.04177932729,0.376,178,134,62,TRUE
500,76,"lambda023",0.0848186847224399,0.0107205046120054,0.0650918179325202,0.084319471220999,0.106816323247087,1.00044142728799,8172.92632121027,0.376,178,134,62,TRUE
500,76,"gamma12",-0.557352795811704,0.0766795934373883,-0.706147281902265,-0.557457083768977,-0.406214738143533,1.00003594937064,5992.59659459685,0.376,178,134,62,TRUE
500,76,"gamma13",0.681821600210118,0.0960616743554857,0.495385757186791,0.68081730385062,0.874374883223094,1.00132858867252,4938.91714563176,0.376,178,134,62,TRUE
500,76,"gamma23",0.483416762631694,0.132965473680612,0.22506686555771,0.483432729801262,0.742888552383868,1.00050941620921,8961.18485813487,0.376,178,134,62,TRUE
500,77,"lambda012",0.071373727719274,0.00604409990960598,0.0599930240725295,0.0711433845221499,0.0838666971653782,1.00074788206504,6734.77805122148,0.398,165,136,75,TRUE
500,77,"lambda013",0.0505753505065173,0.0052463480398345,0.0408902656762245,0.0504262809968643,0.0612823156633518,1.0008961431113,4439.5179885315,0.398,165,136,75,TRUE
500,77,"lambda023",0.135851564156575,0.0154837500837922,0.107570114948138,0.135280016744793,0.16791288329036,1.00021068840079,8314.84847415951,0.398,165,136,75,TRUE
500,77,"gamma12",-0.518268283621123,0.0789896956336434,-0.67635378400246,-0.51812174925476,-0.364298543622078,1.00011449434998,6963.17046846425,0.398,165,136,75,TRUE
500,77,"gamma13",0.705268392109146,0.08894900707813,0.532549876346876,0.704925099211869,0.877995487041861,1.00060168242975,4506.85030211048,0.398,165,136,75,TRUE
500,77,"gamma23",0.800662259743926,0.136740582979517,0.534919808748093,0.799351924600684,1.0723299747967,1.0000391468786,10317.0573446419,0.398,165,136,75,TRUE
500,78,"lambda012",0.0716996293924439,0.0061161198763023,0.0600359641665152,0.0716609304241082,0.0840762966976007,1.00087124077505,5267.02579445671,0.366,189,128,81,TRUE
500,78,"lambda013",0.0456361450243822,0.00482758361136396,0.036595925351835,0.045459405946455,0.055560115735801,1.00127950832256,4940.58805442146,0.366,189,128,81,TRUE
500,78,"lambda023",0.132862155408285,0.0160747314912561,0.103285750656308,0.132120463260912,0.165433527966879,1.00072102002613,6244.96137633039,0.366,189,128,81,TRUE
500,78,"gamma12",-0.696452985999546,0.0867633684524715,-0.868847254843981,-0.696242486148695,-0.526765812563374,1.00131210611117,5191.69224192652,0.366,189,128,81,TRUE
500,78,"gamma13",0.856216635717369,0.0908033838912437,0.679675861501129,0.85624840050354,1.03300536105226,1.00121707579652,4949.33987226248,0.366,189,128,81,TRUE
500,78,"gamma23",0.633848649080909,0.141993099408348,0.350371106302249,0.635419503092728,0.905777680517338,1.00088055493725,6381.05561213931,0.366,189,128,81,TRUE
500,79,"lambda012",0.0809449392941316,0.00622308199215634,0.0691063552666882,0.0808046158517913,0.0937029098508707,1.00008254178608,6548.622199642,0.36,199,121,81,TRUE
500,79,"lambda013",0.0415610349502894,0.0047203166671338,0.0328726981035678,0.0413672333773397,0.0512165163268112,1.00034416405308,4238.86306209935,0.36,199,121,81,TRUE
500,79,"lambda023",0.10034721496241,0.0114669321339552,0.0791491368905824,0.0998644433828285,0.124304281018775,1.0002893596186,7845.59035905365,0.36,199,121,81,TRUE
500,79,"gamma12",-0.614260958311025,0.0737996531623395,-0.755753178522887,-0.615024890117448,-0.469355173424159,1.00016672515555,6702.479083453,0.36,199,121,81,TRUE
500,79,"gamma13",0.803936157935371,0.110727945129683,0.585516904530045,0.803176004477503,1.01735484100095,1.00109962272938,4170.5655004408,0.36,199,121,81,TRUE
500,79,"gamma23",0.468123305540448,0.13445876553266,0.20840879321828,0.468186133816156,0.733213662081801,1.00032873838559,7900.90049381717,0.36,199,121,81,TRUE
500,80,"lambda012",0.0827640306335451,0.0063594938741361,0.0706452642422435,0.0826452149079935,0.0956457835553337,1.00006099718079,6845.02800078172,0.368,202,114,83,TRUE
500,80,"lambda013",0.0447564859387512,0.00470826691090237,0.0359446274586174,0.0445823576875647,0.0541876362368859,1.00001883127622,6015.75002620343,0.368,202,114,83,TRUE
500,80,"lambda023",0.109106827811825,0.0121835616044776,0.0866904740426156,0.108686618332274,0.134046578969676,1.00019724378389,8150.50048736609,0.368,202,114,83,TRUE
500,80,"gamma12",-0.559996317078516,0.0733572682849579,-0.703699098322265,-0.559880178201844,-0.419377341249681,1.00043312354783,6109.10873398344,0.368,202,114,83,TRUE
500,80,"gamma13",0.544664440314932,0.100564895874501,0.348028122933503,0.544713022570089,0.743217554948897,1.0004408048497,5883.63085735779,0.368,202,114,83,TRUE
500,80,"gamma23",0.509160302325617,0.118428355449328,0.275433991455705,0.508732121740885,0.738530995562634,1.00002374843462,8366.89195783583,0.368,202,114,83,TRUE
500,81,"lambda012",0.0741163770543986,0.00609839344124893,0.062711147595869,0.0739614221054656,0.0865256571000844,1.0002815836035,7063.91542655582,0.408,173,123,64,TRUE
500,81,"lambda013",0.0488475874676813,0.00512972893658552,0.0393934070168478,0.0486738627576187,0.0591854523713642,1.00141605391479,5491.68992504114,0.408,173,123,64,TRUE
500,81,"lambda023",0.0921027915571012,0.0119923967900272,0.0702500190011364,0.091612309716029,0.117258129924517,1.00087968708581,7907.05325742377,0.408,173,123,64,TRUE
500,81,"gamma12",-0.375200381911593,0.0772224005722757,-0.527788958954032,-0.374886784168518,-0.225364202694295,1.00044931695038,7414.60140099691,0.408,173,123,64,TRUE
500,81,"gamma13",0.766374573197986,0.0991148200644714,0.572981736426453,0.765786023464997,0.963589901771159,1.00092143696303,5355.98523636704,0.408,173,123,64,TRUE
500,81,"gamma23",0.399149540094081,0.134818599468961,0.133532931365114,0.400053667753529,0.665879952641387,1.00047931773648,7923.05922397862,0.408,173,123,64,TRUE
500,82,"lambda012",0.0841091963789947,0.0062998671403976,0.0721602807886125,0.083982983030333,0.0969379595383623,1.00020144521759,6657.45737504227,0.364,202,116,88,TRUE
500,82,"lambda013",0.0448312785199066,0.00471355178286796,0.0360509390136526,0.0446572346097747,0.0547032335508649,1.00043860862259,5654.34238162147,0.364,202,116,88,TRUE
500,82,"lambda023",0.110288101841762,0.011733752637764,0.0884604947834464,0.109948445361305,0.134189348931947,1.00054817959717,8381.49560982879,0.364,202,116,88,TRUE
500,82,"gamma12",-0.521563033897875,0.0825202737187598,-0.684505829897305,-0.521202472293018,-0.360708624133906,1.00051021961372,6888.3977109866,0.364,202,116,88,TRUE
500,82,"gamma13",0.659369342558886,0.0960496178845829,0.471183339116554,0.660555916780546,0.849137456072437,1.00060750924244,5536.60290976245,0.364,202,116,88,TRUE
500,82,"gamma23",0.507623510071434,0.119756506940758,0.274388459548164,0.507893908598435,0.740950200288663,1.00038250132761,8623.67251313264,0.364,202,116,88,TRUE
500,83,"lambda012",0.0834174035933748,0.00629730128286024,0.0716654454289356,0.0831771045342844,0.0962316474634942,1.00064737498472,8387.41102643307,0.392,193,111,86,TRUE
500,83,"lambda013",0.0394757176793523,0.00460508560976096,0.0309575243226075,0.0393044981125642,0.0491802330333995,1.00004271950447,4342.41063442694,0.392,193,111,86,TRUE
500,83,"lambda023",0.107750133854344,0.0116271458351277,0.0858671203048206,0.107354776751707,0.131741000784614,1.00006522860168,8958.87149165561,0.392,193,111,86,TRUE
500,83,"gamma12",-0.46610622476205,0.0736600668537436,-0.608579881939203,-0.466675006215411,-0.321164427718533,1.00060748415439,8130.39395855934,0.392,193,111,86,TRUE
500,83,"gamma13",0.720014824962585,0.105936117804255,0.51539730283669,0.719825328126362,0.929583335913946,1.00027546411497,4436.47322634923,0.392,193,111,86,TRUE
500,83,"gamma23",0.468677862158993,0.114605289664912,0.245100907218313,0.469015106892958,0.695399357805709,0.999980940006285,9424.50531890542,0.392,193,111,86,TRUE
500,84,"lambda012",0.0795854332281386,0.00632481741516499,0.067652730032922,0.0794486201583121,0.0922965735845419,1.00012939939532,7144.92976580068,0.408,186,110,72,TRUE
500,84,"lambda013",0.0397474791116501,0.00468071185078009,0.0311423795774602,0.0395462477051026,0.0494035418600886,1.00032967342365,4536.84930965582,0.408,186,110,72,TRUE
500,84,"lambda023",0.092021042206986,0.0107479256363843,0.0721156552080853,0.0916404869875386,0.114352141341984,1.00021066396801,8732.3364031013,0.408,186,110,72,TRUE
500,84,"gamma12",-0.580615200983027,0.0832608040163859,-0.744379186279524,-0.579262723671317,-0.420597280392365,1.00003868085214,6999.49932322438,0.408,186,110,72,TRUE
500,84,"gamma13",0.755630330980598,0.106143497751046,0.548319400233667,0.755624872237408,0.962535274140485,1.00042996179587,4436.6943229767,0.408,186,110,72,TRUE
500,84,"gamma23",0.318435988515396,0.124856774430598,0.0766663853196093,0.31756780992433,0.56655830394755,1.00000678266344,9123.57246735496,0.408,186,110,72,TRUE
500,85,"lambda012",0.0844804554368335,0.00641711559218195,0.072282988030451,0.0842861473885592,0.097629837297178,1.00017515002625,7928.52069632005,0.374,192,121,93,TRUE
500,85,"lambda013",0.044732213081746,0.00497369589571841,0.0354683104570504,0.0445748457797004,0.0549127105578052,1.00116820323291,4641.86961862827,0.374,192,121,93,TRUE
500,85,"lambda023",0.12356895183943,0.0128904909187734,0.099300224572299,0.123278953910953,0.150026574101869,1.00024822325331,7631.20286523548,0.374,192,121,93,TRUE
500,85,"gamma12",-0.438562453033538,0.0811610884743317,-0.594167698252038,-0.439035627311101,-0.277777971008465,1.00041257925714,7132.7468541314,0.374,192,121,93,TRUE
500,85,"gamma13",0.788179552917071,0.109052651395416,0.577332585023294,0.786768627225182,1.00453330709278,1.00071111371349,4948.4594829451,0.374,192,121,93,TRUE
500,85,"gamma23",0.309111113706547,0.118330012550189,0.0756067581659883,0.30952501118511,0.534858824556653,1.00074235803613,8722.36820386245,0.374,192,121,93,TRUE
500,86,"lambda012",0.0812443732123098,0.00657157563396924,0.0688250309203201,0.0811071415175378,0.0943461656001947,1.00063020607659,6890.1653995809,0.39,189,116,84,TRUE
500,86,"lambda013",0.0392814999305506,0.0046853548246792,0.0308115754647393,0.0391368393766347,0.0488447010909434,1.00092056280406,3998.42955500521,0.39,189,116,84,TRUE
500,86,"lambda023",0.11176953557664,0.0125454754004355,0.0887809028107635,0.11124193224871,0.137634883737367,1.00083364367214,8410.72404257108,0.39,189,116,84,TRUE
500,86,"gamma12",-0.532717924744141,0.0704741295853084,-0.670951827430755,-0.53341086624298,-0.394221158643702,1.0002193614217,6233.96427514232,0.39,189,116,84,TRUE
500,86,"gamma13",0.835447778767635,0.0991078727242179,0.642167989371049,0.834795348214436,1.02801318810857,1.00177003410406,3941.46899755432,0.39,189,116,84,TRUE
500,86,"gamma23",0.457465299922227,0.113050160540739,0.235134691218907,0.456499352585681,0.683218932803427,1.00061941253348,8000.77197032187,0.39,189,116,84,TRUE
500,87,"lambda012",0.0820569652012585,0.0063287347199425,0.0703049477673175,0.0818502248382421,0.0950501737156455,1.00032361233573,7198.50107551981,0.388,192,114,82,TRUE
500,87,"lambda013",0.0412457360762349,0.00461392953311521,0.032700398588041,0.0410656444565653,0.0508059398919681,1.00030656680478,4945.75306807014,0.388,192,114,82,TRUE
500,87,"lambda023",0.113899755554022,0.0123113287998516,0.0913941871367168,0.113452059662412,0.139727575143983,1.00055992583462,9195.20897598088,0.388,192,114,82,TRUE
500,87,"gamma12",-0.398855507065795,0.0746881327146879,-0.547020127863639,-0.398885689491803,-0.251936096634789,1.00069929311206,7224.59035307237,0.388,192,114,82,TRUE
500,87,"gamma13",0.770693015914529,0.10000772188168,0.574432273776802,0.771443790783005,0.96521873089359,1.00018084943749,5087.71520296643,0.388,192,114,82,TRUE
500,87,"gamma23",0.67931788799949,0.121792458328608,0.440689919381931,0.678510113749323,0.925213187264497,0.999971036578827,9106.01834326826,0.388,192,114,82,TRUE
500,88,"lambda012",0.0785278410508677,0.0061836309862738,0.0667470925891219,0.0783884558398126,0.0909248533725343,0.99996476864156,7581.58676725035,0.388,181,125,89,TRUE
500,88,"lambda013",0.0442980173844648,0.00481694785014947,0.0353231727771966,0.0441473933153187,0.0540962214437154,1.00105438243462,4773.64081841851,0.388,181,125,89,TRUE
500,88,"lambda023",0.127087215119885,0.0135563607475218,0.101813856681015,0.126658568947481,0.155026161050949,1.00010609429951,8415.71763769787,0.388,181,125,89,TRUE
500,88,"gamma12",-0.481894199099224,0.0795097112830288,-0.635796967088461,-0.482253209997862,-0.327213182136455,1.00030003157556,7281.9111794921,0.388,181,125,89,TRUE
500,88,"gamma13",0.717669620491802,0.0863236971943631,0.5477547505511,0.719606049958479,0.886148349598476,1.00064722101714,4830.00443681344,0.388,181,125,89,TRUE
500,88,"gamma23",0.380199910562163,0.102129729580398,0.177359615634149,0.380253239675415,0.579445785536477,1.00005762187661,8279.26050416761,0.388,181,125,89,TRUE
500,89,"lambda012",0.0862805183736992,0.00676286597520783,0.0733467064010895,0.0862173215018923,0.0999646901293653,1.00008844324049,7483.52736499868,0.424,188,100,76,TRUE
500,89,"lambda013",0.0396121640509286,0.00464387415551085,0.0309442333427857,0.0394978227253697,0.048907497066431,1.0001929544524,4653.03770831774,0.424,188,100,76,TRUE
500,89,"lambda023",0.0987961935739878,0.0111708299519566,0.0781833374641757,0.0982654494088384,0.122170115046736,1.00021989452333,9335.95403181607,0.424,188,100,76,TRUE
500,89,"gamma12",-0.354238842007075,0.0845974549912518,-0.52167939335355,-0.353950207003108,-0.188725373934664,1.00030930026961,7273.36887314568,0.424,188,100,76,TRUE
500,89,"gamma13",0.910341164295722,0.114079312875734,0.688276886222956,0.910362876943973,1.13817614644107,1.00069672507763,4650.39548584094,0.424,188,100,76,TRUE
500,89,"gamma23",0.374956936127962,0.115052684837447,0.146753396878161,0.374838390523987,0.601147667055376,1.00030515628142,9070.33022700113,0.424,188,100,76,TRUE
500,90,"lambda012",0.0790421252839314,0.00649097399535746,0.0669687128113047,0.0788636619407527,0.0924282374445909,1.00017635630076,6300.44538598844,0.412,179,115,72,TRUE
500,90,"lambda013",0.042926231800066,0.00497776738873291,0.0338264371032199,0.0427412607557696,0.0532225843625575,0.999948954366496,4102.48429611995,0.412,179,115,72,TRUE
